Catalogue number,Parent image ID,Mars Express/HRSC DTM (best resolution),HRSC DTM resolution (m/px),HiRISE available ?,HiRISE image,HiRISE anaglyph,HiRISE DTM,GLF Head lon. (deg. East),GLF Head lon. (+/- 180),GLF Head lat. ,GLF Terminus lon. (deg. East),GLF Terminus lon. (+/- 180),GLF Terminus lat.,Mid-channel true right lon. (deg. East),Mid-channel true right lon. (+/- 180),Mid-channel true right lat.,Mid-channel true left lon. (deg. East),Mid-channel true left lon. (+/- 180),Mid-channel true left lat.,Centre lon. (deg. East),Centre Lon (-180 to 180),Centre .Lat,GLF length (km),GLF width (km),GLF area (km sq.),GLF orientation (deg.),Buffer min. elevation (m),Buffer max. elevation (m),Buffer MEAN elevation (m),Buffer STD. DEV. of elevation,Elongation
56,P18_007944_2243_XN_44N085W,H5304_0000_DA4,50,no,,,,274.3135,-85.6865,43.5081,274.2681,-85.7319,43.405,274.2671,-85.7329,43.4612,274.3159,-85.6841,43.45,274.291,-85.7092,43.456,6.41548,2.20209,14.12745,197.74198,665,2979,1605.61,674.648,2.91336
57,P18_007944_2243_XN_44N085W,H5304_0000_DA4,50,no,,,,274.6191,-85.3809,43.53,274.4502,-85.5498,43.3889,274.5288,-85.4712,43.4666,274.6108,-85.3892,43.4163,274.535,-85.46535,43.441,11.07906,4.61971,51.18206,221.04461,909,2780,1846.97,456.275,2.39822
58,P18_007944_2243_XN_44N085W,H5304_0000_DA4,50,yes,"ESP_028910_2240, ESP_016739_2240",,,274.7393,-85.2607,43.6712,274.9204,-85.0796,43.6135,274.8081,-85.1919,43.6238,274.8315,-85.1685,43.6663,274.830,-85.17015,43.645,8.48735,2.71161,23.01437,113.70007,1189,2275,1842.23,252.177,3.13001
59,P05_002894_2165_XI_36N086W,H5322_0000_DA4,75,no,,,,273.9719,-86.0281,35.0232,273.989,-86.011,35.0528,273.9844,-86.0156,35.0354,273.9783,-86.0217,35.0393,273.980,-86.01955,35.037,1.9408,0.37559,0.72895,25.30954,592,1175,805.978,90.603,5.16729
60,P15_007008_2214_XN_41N086W,H5322_0000_DA4,75,no,,,,272.896,-87.104,40.4915,273.0415,-86.9585,40.5188,272.9712,-87.0288,40.4861,272.9673,-87.0327,40.5115,272.969,-87.03125,40.499,6.75392,1.51572,10.23706,76.09097,891,1355,1082.84,112.881,4.45592
61,P15_007008_2214_XN_41N086W,H5340_0000_DA4,75,no,,,,272.9189,-87.0811,40.3845,272.9863,-87.0137,40.387,272.9614,-87.0386,40.3748,272.9614,-87.0386,40.3919,272.953,-87.0474,40.383,3.04651,1.01354,3.08776,87.19027,991,1555,1256.79,151.003,3.00581
62,P15_007008_2214_XN_41N086W,H5340_0000_DA4,75,no,,,,272.9785,-87.0215,41.2547,273.0869,-86.9131,41.345,273.0454,-86.9546,41.3064,273.0298,-86.9702,41.3225,273.033,-86.9673,41.314,7.20729,1.18023,8.50627,42.01002,1149,1763,1524.46,126.41,6.10667
63,P15_007008_2214_XN_41N086W,H5322_0000_DA4,75,no,,,,273.6763,-86.3237,38.5486,273.5884,-86.4116,38.5703,273.6384,-86.3616,38.5632,273.6331,-86.3669,38.5491,273.632,-86.36765,38.556,4.27219,0.87108,3.72144,287.5487,1226,2444,1782.28,354.512,4.90446
64,P16_007153_2225_XN_42N086W,H5304_0000_DA4,50,no,,,,274.3306,-85.6694,40.2049,274.0938,-85.9062,40.2444,274.2148,-85.7852,40.2132,274.208,-85.792,40.1882,274.212,-85.7878,40.201,10.96909,1.51342,16.60089,282.40033,1261,2534,1799.6,335.231,7.24787
65,P16_007153_2225_XN_42N086W,H5304_0000_DA4,50,no,,,,274.4595,-85.5405,40.3738,274.3042,-85.6958,40.4495,274.4023,-85.5977,40.4378,274.3965,-85.6035,40.4177,274.382,-85.61815,40.428,8.32182,1.21976,10.15059,302.67722,1186,1936,1581.31,148.536,6.82252
