N,imageID,URL,anaglyphURL,Deskrifans,Dorhys,Dorhys180,Dorles
160,ESP_051782_2130,http://www.uahirise.org/kw/ESP_051782_2130,,Le Strekys Potencyal A-Dhiwedhes,90,90,32
161,ESP_043013_2370,http://www.uahirise.org/kw/ESP_043013_2370,,Orth Amal Estowlans a Gowdoll Strekys,91,91,57
162,ESP_043066_1730,http://www.uahirise.org/kw/ESP_043066_1730,,Gorwolyas Tewynnow Kowdoll Briault,94,94,-7
163,ESP_051755_2565,http://www.uahirise.org/kw/ESP_051755_2565,,Tewennow Neythik Meur y'n Ranndir Pennaghlek,95,95,76
164,ESP_046204_2255,http://www.uahirise.org/kw/ESP_046204_2255,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_028600_2255,Orth Amal an Estowlans a Gowdoll Strekys,99,99,45
165,ESP_051782_1385,http://www.uahirise.org/kw/ESP_051782_1385,,Fros ogas ha Reull Vallis,100,100,-41
166,ESP_051795_1590,http://www.uahirise.org/kw/ESP_051795_1590,,Kowdoll 2-kilometer A-Dhiwedhes,102,102,-11
167,ESP_046204_1705,http://www.uahirise.org/kw/ESP_046204_1705,,Ow korwolyas run,108,108,-9
168,ESP_051808_1520,http://www.uahirise.org/kw/ESP_051808_1520,,Or Estowlans a Gowdoll Resen yn Hesperia Planum,109,109,-28
169,ESP_051742_1475,http://www.uahirise.org/kw/ESP_051742_1475,,Gwiskasow Pall yn Promethei Terra,111,111,-32
170,ESP_051821_1540,http://www.uahirise.org/kw/ESP_051821_1540,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051821_1540,"Estowlans a Gowdoll Gwithys yn ta, Eth Kilometer a-dreus, yn Hesperia Planum",116,116,-26
171,ESP_051833_2615,http://www.uahirise.org/kw/ESP_051833_2615,,Furvyans Kevnisen yn Kowdoll,117,117,81
172,ESP_043051_2635,http://www.uahirise.org/kw/ESP_043051_2635,,Park Tewynn Pennaghlek Teg,119,119,83
173,ESP_051781_2035,http://www.uahirise.org/kw/ESP_051781_2035,,Pyttys ha Seudhow yn Utopia Panitia,119,119,23
174,ESP_051847_1885,http://www.uahirise.org/kw/ESP_051847_1885,,Kowdoll Gwithys yn ta war Leur Kowdoll Ehden,119,119,8
175,ESP_043025_2095,http://www.uahirise.org/kw/ESP_043025_2095,,Tiredh dhe'n North-West a Elysium Mons,129,129,29
176,ESP_051860_1495,http://www.uahirise.org/kw/ESP_051860_1495,,Godhesow Kloridek yn Mysk Karygi Arenep,130,130,-30
177,ESP_051832_2645,http://www.uahirise.org/kw/ESP_051832_2645,,Kowdell Pytt yn Ranndir Pennaghlek a'n North,135,135,84
178,ESP_046203_1770,http://www.uahirise.org/kw/ESP_046203_1770,,Kanel y’n Gwelidor dhe’n Kledh a Gowdoll Gale,136,136,-4
